,simulation,subset,run,timestep,prices,trades,substep,index_price,basket_price
47,0,0,1,47,"Prices(index_price=215.53025779253704, basket_price=221.05667465901234)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=True)",3,215.53025779253704,221.05667465901234
48,0,0,1,48,"Prices(index_price=227.74160494174112, basket_price=231.86071303758519)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,227.74160494174112,231.86071303758519
49,0,0,1,49,"Prices(index_price=205.3312923350462, basket_price=215.4693448827305)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,205.3312923350462,215.4693448827305
50,0,0,1,50,"Prices(index_price=209.94878569388507, basket_price=215.33208789116418)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=True)",3,209.94878569388507,215.33208789116418
51,0,0,1,51,"Prices(index_price=198.46113324385692, basket_price=207.84427455714805)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,198.46113324385692,207.84427455714805
52,0,0,1,52,"Prices(index_price=207.40062439275513, basket_price=213.94349075231486)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,207.40062439275513,213.94349075231486
53,0,0,1,53,"Prices(index_price=198.18468744397921, basket_price=210.61875394855295)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,198.18468744397921,210.61875394855295
54,0,0,1,54,"Prices(index_price=200.29177751346742, basket_price=200.29177751346742)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,200.29177751346742,200.29177751346742
55,0,0,1,55,"Prices(index_price=201.94363877880946, basket_price=202.0124618581901)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,201.94363877880946,202.0124618581901
56,0,0,1,56,"Prices(index_price=206.61664513629313, basket_price=208.35900525968069)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,206.61664513629313,208.35900525968069
57,0,0,1,57,"Prices(index_price=211.73239769534777, basket_price=211.1355684266972)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,211.73239769534777,211.1355684266972
58,0,0,1,58,"Prices(index_price=214.55096250149927, basket_price=216.44005291408368)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,214.55096250149927,216.44005291408368
59,0,0,1,59,"Prices(index_price=208.21759386152925, basket_price=211.73981806718052)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,208.21759386152925,211.73981806718052
60,0,0,1,60,"Prices(index_price=206.09345105952843, basket_price=210.01687882327263)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,206.09345105952843,210.01687882327263
61,0,0,1,61,"Prices(index_price=200.9944837833822, basket_price=205.05564539280508)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,200.9944837833822,205.05564539280508
62,0,0,1,62,"Prices(index_price=203.73110975976846, basket_price=203.41978156709715)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,203.73110975976846,203.41978156709715
63,0,0,1,63,"Prices(index_price=195.34096550355898, basket_price=197.1834774289891)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,195.34096550355898,197.1834774289891
64,0,0,1,64,"Prices(index_price=177.8287408163785, basket_price=182.13559187563277)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,177.8287408163785,182.13559187563277
65,0,0,1,65,"Prices(index_price=174.46316752626282, basket_price=185.57272856606897)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,174.46316752626282,185.57272856606897
66,0,0,1,66,"Prices(index_price=170.24846895626942, basket_price=183.70047662082982)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,170.24846895626942,183.70047662082982
67,0,0,1,67,"Prices(index_price=166.2999689528098, basket_price=170.56407072083056)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=True)",3,166.2999689528098,170.56407072083056
68,0,0,1,68,"Prices(index_price=164.7168852567657, basket_price=176.21641269603106)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,164.7168852567657,176.21641269603106
69,0,0,1,69,"Prices(index_price=157.63621282086348, basket_price=169.9845336721618)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,157.63621282086348,169.9845336721618
70,0,0,1,70,"Prices(index_price=172.12587470292453, basket_price=172.12587470292453)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,172.12587470292453,172.12587470292453
71,0,0,1,71,"Prices(index_price=181.16552347637753, basket_price=180.12190098757657)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,181.16552347637753,180.12190098757657
72,0,0,1,72,"Prices(index_price=184.69671263840695, basket_price=183.08475235147912)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,184.69671263840695,183.08475235147912
73,0,0,1,73,"Prices(index_price=202.6307394890325, basket_price=195.34594448292972)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,202.6307394890325,195.34594448292972
74,0,0,1,74,"Prices(index_price=196.98405839860612, basket_price=185.2384931203144)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,196.98405839860612,185.2384931203144
75,0,0,1,75,"Prices(index_price=205.5961066964516, basket_price=190.8173360180817)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,205.5961066964516,190.8173360180817
76,0,0,1,76,"Prices(index_price=186.19182751668598, basket_price=186.19182751668598)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,186.19182751668598,186.19182751668598
77,0,0,1,77,"Prices(index_price=179.35486950232797, basket_price=179.9469801617281)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,179.35486950232797,179.9469801617281
78,0,0,1,78,"Prices(index_price=170.9462398353713, basket_price=176.53833750624614)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,170.9462398353713,176.53833750624614
79,0,0,1,79,"Prices(index_price=165.3266712270474, basket_price=175.55367257792722)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,165.3266712270474,175.55367257792722
80,0,0,1,80,"Prices(index_price=173.3571556359902, basket_price=177.8022109087079)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=True)",3,173.3571556359902,177.8022109087079
81,0,0,1,81,"Prices(index_price=161.3374563367492, basket_price=169.2219221312345)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,161.3374563367492,169.2219221312345
82,0,0,1,82,"Prices(index_price=178.53612083400256, basket_price=178.53612083400256)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,178.53612083400256,178.53612083400256
83,0,0,1,83,"Prices(index_price=183.0028492257088, basket_price=184.4783603227213)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,183.0028492257088,184.4783603227213
84,0,0,1,84,"Prices(index_price=168.2043242980156, basket_price=172.15295811092076)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,168.2043242980156,172.15295811092076
85,0,0,1,85,"Prices(index_price=182.28700649955297, basket_price=186.68483857087895)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,182.28700649955297,186.68483857087895
86,0,0,1,86,"Prices(index_price=201.75330782590174, basket_price=206.24837519536507)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,201.75330782590174,206.24837519536507
87,0,0,1,87,"Prices(index_price=217.65424833863764, basket_price=220.46692751057708)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,217.65424833863764,220.46692751057708
88,0,0,1,88,"Prices(index_price=223.74816659295115, basket_price=220.68822299896314)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,223.74816659295115,220.68822299896314
89,0,0,1,89,"Prices(index_price=219.00325436925456, basket_price=211.07998056332062)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,219.00325436925456,211.07998056332062
90,0,0,1,90,"Prices(index_price=229.92744944198884, basket_price=224.31946287023302)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,229.92744944198884,224.31946287023302
91,0,0,1,91,"Prices(index_price=225.19748962455728, basket_price=222.04063568960115)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,225.19748962455728,222.04063568960115
92,0,0,1,92,"Prices(index_price=240.55157536684177, basket_price=237.83266607266384)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,240.55157536684177,237.83266607266384
93,0,0,1,93,"Prices(index_price=245.23741080396363, basket_price=242.68772239900272)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,245.23741080396363,242.68772239900272
94,0,0,1,94,"Prices(index_price=262.11882267102214, basket_price=256.9655147915022)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,262.11882267102214,256.9655147915022
95,0,0,1,95,"Prices(index_price=277.20729580827435, basket_price=264.11386367463285)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,277.20729580827435,264.11386367463285
96,0,0,1,96,"Prices(index_price=282.98793555193873, basket_price=276.08579078237926)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,282.98793555193873,276.08579078237926
97,0,0,1,97,"Prices(index_price=295.48402246347314, basket_price=278.9915940164)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,295.48402246347314,278.9915940164
98,0,0,1,98,"Prices(index_price=314.3609940653123, basket_price=306.6936527466462)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,314.3609940653123,306.6936527466462
99,0,0,1,99,"Prices(index_price=319.4994145870264, basket_price=311.7067459385624)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,319.4994145870264,311.7067459385624
100,0,0,1,100,"Prices(index_price=329.1161770474364, basket_price=321.0889532170111)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,329.1161770474364,321.0889532170111
